STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FIPS,CHR_Health_Outcomes_Z-Score,CHR_Health_Outcomes_Rank,CHR_Health_Factors_Z-Score,CHR_Health_Factors_Rank,SVI_SPL_THEMES,SVI_RPL_THEMES,SoVI,SoVI_Percentile,SDI_score,SDI_fpl_100_score,NRI_RISK_SCORE,NRI_RISK_RATNG,NRI_RISK_NPCTL,NRI_RISK_SPCTL,MDI_rate,MDI_Standard Error,CRE_PRED0_E,CRE_PRED0_M,CRE_PRED0_PE,CRE_PRED0_PM,CRE_PRED12_E,CRE_PRED12_M,CRE_PRED12_PE,CRE_PRED12_PM,CRE_PRED3_E,CRE_PRED3_M,CRE_PRED3_PE,CRE_PRED3_PM,BRIC_SOCIAL,BRIC_ECONOM,BRIC_HOUSING/INFRA,BRIC_COMM CAPITL,BRIC_INSTITUTIONAL,BRIC_ENVIRONMNT,BRIC
"36","099","00974147",0500000US36099,"36099",Seneca,"06","838403627","172828921","36099","0.53","48","0.35","50","7.4424","0.5246","-1.389999986","27.9","26","32","4.928896016",Very Low,"10.50286442","8.064516129","0.1126","0.0143","11665","2928","36.69","9.21","12198","2956","38.37","9.3","7927","2494","24.94","7.84","0.705239199","0.481544314","0.280546885","0.378927936","0.386403134","0.629885309","2.862546778"
"36","069","00974133",0500000US36069,"36069",Ontario,"06","1668067226","47868195","36069","-0.67","10","-0.54","10","5.1638","0.082","-1.360000014","28.3","17","19","9.332324238",Relatively Low,"52.13239975","54.83870968","0.0571","0.0099","46510","10372","43.14","9.62","41614","10368","38.6","9.62","19685","8410","18.26","7.8","0.712832995","0.500192285","0.309405783","0.433653663","0.392048218","0.608789129","2.956922073"
"36","085","00974141",0500000US36085,"36085",Richmond,"06","148972685","115952653","36085","-0.36","17","-0.24","16","7.4917","0.541","-0.829999983","36.5","40","31","15.9725945",Relatively Moderate,"87.20560153","90.32258065","0.1488","0.0219","154695","50495","32.62","10.65","213472","55255","45.01","11.65","106090","48251","22.37","10.17","0.719097321","0.475597608","0.335915182","0.340492826","0.414495193","0.551688627","2.837286756"
"36","117","00974156",0500000US36117,"36117",Wayne,"06","1563910796","2018187304","36117","0.29","41","0.12","36","6.4591","0.2787","-1.379999995","28.1","22","31","6.087213295",Very Low,"19.82813495","12.90322581","0.1126","0.0143","35562","8508","39.62","9.48","35902","8536","40","9.51","18300","7049","20.39","7.85","0.720981618","0.496397519","0.298006526","0.406884121","0.412787281","0.627771298","2.962828364"
"36","011","00974104",0500000US36011,"36011",Cayuga,"06","1791190506","445708165","36011","-0.06","28","0.26","45","7.6556","0.5738","-0.800000012","37","40","27","6.861600627",Very Low,"27.18014004","27.41935484","0.0971","0.0203","27521","6676","37.46","9.09","30240","6733","41.16","9.16","15714","5682","21.39","7.73","0.712250132","0.470815631","0.279142917","0.390662345","0.382250692","0.620118114","2.855239831"
"36","027","00974112",0500000US36027,"36027",Dutchess,"06","2060717226","76917249","36027","-0.42","14","-0.45","11","6.6396","0.3115","-2.609999895","15.3","26","14","7.80375293",Very Low,"36.88733291","35.48387097","0.098","0.0135","115339","29139","41.17","10.4","114273","29307","40.79","10.46","50508","23504","18.03","8.39","0.710593568","0.470191524","0.314851283","0.361729267","0.412670865","0.608009312","2.878045819"
"36","049","00974123",0500000US36049,"36049",Lewis,"06","3301307118","39612945","36049","0.22","37","0.28","46","6.3936","0.2623","-1.409999967","27.6","19","28","4.112602811",Very Low,"6.110757479","4.838709677","0.1338","0.0192","10524","2337","40.07","8.9","10641","2344","40.51","8.92","5102","1944","19.42","7.4","0.707671122","0.44413316","0.259653188","0.379076187","0.368819483","0.628979829","2.788332968"
"36","021","00974109",0500000US36021,"36021",Columbia,"06","1643770743","35071400","36021","-0.28","21","-0.26","14","6.3115","0.2295","-0.620000005","40","24","26","8.724715961",Relatively Low,"46.46721833","48.38709677","0.097","0.0144","20394","6078","34.6","10.31","25518","6215","43.29","10.54","13036","5385","22.11","9.13","0.69299345","0.455113084","0.276861367","0.371624012","0.404928794","0.633720107","2.835240815"
"36","015","00974106",0500000US36015,"36015",Chemung,"06","1055036193","8876788","36015","1.15","59","0.23","41","7.6721","0.5902","0.360000014","56","38","52","9.528270061",Relatively Low,"53.7555697","58.06451613","0.1355","0.0176","32895","8563","40.7","10.59","31159","8490","38.55","10.5","16776","6841","20.75","8.46","0.717697235","0.472615139","0.3398944","0.3980421","0.392122179","0.595734353","2.916105407"
"36","109","00974152",0500000US36109,"36109",Tompkins,"06","1229314961","43787671","36109","-1.05","7","-0.86","3","6.6885","0.3279","-2.819999933","13.7","47","87","6.703198255",Very Low,"25.27052833","20.96774194","0.1808","0.0218","35247","9673","39.16","10.75","38095","9674","42.33","10.75","16663","7741","18.51","8.6","0.691048896","0.443703236","0.293050123","0.307533201","0.39042377","0.617464129","2.743223356"
"36","039","00974118",0500000US36039,"36039",Greene,"06","1676140493","28201061","36039","1.01","57","0.44","52","7.0492","0.4262","-0.75","37.6","28","34","9.009236891",Relatively Low,"49.04519414","50","0.097","0.0144","15233","4563","34.07","10.21","19075","4658","42.66","10.42","10405","4002","23.27","8.95","0.696330827","0.421293261","0.199908722","0.367733941","0.474283385","0.605636498","2.765186634"
"36","041","00974119",0500000US36041,"36041",Hamilton,"06","4447982191","234211585","36041","-0.23","23","0.08","33","7.0656","0.459","1.679999948","76.7","12","34","4.048473039",Very Low,"5.728835137","3.225806452","0.1176","0.0117","1520","496","34.43","11.23","1858","518","42.08","11.74","1037","463","23.49","10.49","0.653356518","0.376504272","0.254767407","0.486296473","0.452638179","0.605198247","2.828761096"
"36","093","00974144",0500000US36093,"36093",Schenectady,"06","529858774","12597881","36093","0.28","40","-0.16","21","7.0001","0.4098","0.230000004","54.2","27","31","10.06931444",Relatively Low,"58.49777212","62.90322581","0.1168","0.0196","60359","17025","39.46","11.13","60979","17203","39.87","11.25","31620","14163","20.67","9.26","0.705921621","0.490248508","0.364185116","0.39078126","0.423745853","0.595588998","2.970471356"
